"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"ALB",2019.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio"
"ALB",2019.5,"all","high","all","all","Ds, Dc","stock",NA,"all","low","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.674,0.575,0.801,0.113,"TB_prr_0_99","ratio"
"ALB",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,2.59339721070155,2.19441302443978,2.99238139696333,0.398984186261775,"TB_inci_0_14","inci"
"ALB",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,19.3306550570674,16.3890336353398,22.2722764787951,2.94162142172765,"TB_inci_15_99","inci"
"ALB",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,16.3142725934452,13.8844873135704,18.74405787332,2.4297852798748,"TB_inci_0_99","inci"
"ALB",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,2.19441302443978,1.75553041955182,2.63329562932773,0.438882604887955,"TB_notif_0_14","inci"
"ALB",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,16.8512884301827,13.4810307441462,20.2215461162193,3.37025768603655,"TB_notif_15_99","inci"
"ALB",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,14.3010219329775,11.440817546382,17.161226319573,2.8602043865955,"TB_notif_0_99","inci"
"ALB",2019.5,"all","all","all","all","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,0.35,0.2,0.54,0.17,"TB_deaths_0_99","inci"
