YEAR	country	dim	from	to	TB	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
1980	ZAF	HIV	HIV-	HIVu1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981	ZAF	HIV	HIV-	HIVu1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	ZAF	HIV	HIV-	HIVu1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	ZAF	HIV	HIV-	HIVu1	NA	0.000049158	0	0	0.000159092	0.000427273	0.000487867	0.000467058	0.000378455	0.000304001	0.000229613	0.000170643	0.000128741	0.000103097	0.000099114	0.000101044	0.000047339	0
1984	ZAF	HIV	HIV-	HIVu1	NA	0.000074419	0	0	0.000164257	0.000429246	0.000481054	0.0004521	0.000368471	0.00029366	0.000224471	0.000167228	0.000125549	0.000099246	0.000094168	0.000099327	0.000042767	0
1985	ZAF	HIV	HIV-	HIVu1	NA	0.000083931	0	0	0.000138145	0.000362693	0.000407662	0.000379587	0.000316	0.000248037	0.000190571	0.000141733	0.00010624	0.000084727	0.000079642	0.0000847	0.000035917	0
1986	ZAF	HIV	HIV-	HIVu1	NA	0.000115239	0	0	0.000191643	0.000500106	0.000562352	0.000519479	0.000439746	0.000340894	0.000263305	0.000195502	0.000146391	0.00011749	0.000109616	0.000117477	0.000049137	0
1987	ZAF	HIV	HIV-	HIVu1	NA	0.000162961	0	0	0.000279685	0.000731438	0.00082241	0.000753814	0.00064774	0.000495887	0.000385669	0.000285734	0.000213725	0.000172415	0.000159809	0.000172551	0.000071454	0
1988	ZAF	HIV	HIV-	HIVu1	NA	0.000233958	0	0	0.00041259	0.00108	0.00122	0.00111	0.000958391	0.000732933	0.000570061	0.000422601	0.00031556	0.000255112	0.000235902	0.000255122	0.000105582	0
1989	ZAF	HIV	HIV-	HIVu1	NA	0.000338703	0	0	0.000611813	0.0016	0.0018	0.00164	0.00141	0.00109	0.000843304	0.00062835	0.000467998	0.000377459	0.000349909	0.000376139	0.000157044	0
1990	ZAF	HIV	HIV-	HIVu1	NA	0.000492054	0	0	0.000915065	0.00236	0.00267	0.00243	0.00206	0.00164	0.00124	0.000931523	0.000692144	0.000556307	0.000518773	0.000552416	0.000233177	0
1991	ZAF	HIV	HIV-	HIVu1	NA	0.000716796	0	0	0.00134	0.00349	0.00393	0.00358	0.00301	0.00243	0.00183	0.00138	0.00102	0.000820364	0.000767088	0.000808753	0.000343124	0
1992	ZAF	HIV	HIV-	HIVu1	NA	0.00105	0	0	0.00195	0.0051	0.00574	0.00523	0.00437	0.00358	0.00266	0.00202	0.0015	0.0012	0.00112	0.00118	0.000500353	0
1993	ZAF	HIV	HIV-	HIVu1	NA	0.00153	0	0	0.00281	0.00735	0.00827	0.00755	0.00627	0.00517	0.00384	0.00292	0.00216	0.00173	0.00163	0.0017	0.000718261	0
1994	ZAF	HIV	HIV-	HIVu1	NA	0.00221	0	0	0.00399	0.01041	0.01166	0.01068	0.00887	0.00727	0.00547	0.00411	0.00306	0.00244	0.0023	0.00242	0.00101	0
1995	ZAF	HIV	HIV-	HIVu1	NA	0.00311	0	0	0.00548	0.01436	0.01586	0.01466	0.01222	0.00989	0.00759	0.00561	0.0042	0.00335	0.00317	0.00337	0.00139	0
1996	ZAF	HIV	HIV-	HIVu1	NA	0.00418	0	0	0.00714	0.0185	0.02069	0.019	0.01588	0.01274	0.00991	0.00722	0.00543	0.00434	0.00411	0.00441	0.00181	0
1997	ZAF	HIV	HIV-	HIVu1	NA	0.00524	0	0	0.00842	0.02175	0.02429	0.02231	0.01871	0.0149	0.01176	0.00845	0.00638	0.00509	0.00484	0.00522	0.00215	0
1998	ZAF	HIV	HIV-	HIVu1	NA	0.00606	0	0	0.00876	0.02263	0.02523	0.02313	0.01945	0.01543	0.01226	0.0088	0.00662	0.00528	0.00503	0.00545	0.00228	0
1999	ZAF	HIV	HIV-	HIVu1	NA	0.00661	0	0	0.00825	0.0214	0.02384	0.02171	0.0183	0.01454	0.0115	0.0084	0.00622	0.00495	0.00472	0.00513	0.00219	0
2000	ZAF	HIV	HIV-	HIVu1	NA	0.007	0	0	0.00744	0.01943	0.02173	0.01944	0.01649	0.01315	0.01031	0.00771	0.0056	0.00446	0.00425	0.00462	0.00202	0
2001	ZAF	HIV	HIV-	HIVu1	NA	0.0073	0	0	0.00672	0.01769	0.01962	0.01773	0.01491	0.01192	0.00929	0.00709	0.00507	0.00403	0.00383	0.00417	0.00186	0
2002	ZAF	HIV	HIV-	HIVu1	NA	0.00757	0	0	0.00624	0.01651	0.01835	0.01652	0.01384	0.01108	0.00859	0.00666	0.00472	0.00374	0.00354	0.00387	0.00173	0
2003	ZAF	HIV	HIV-	HIVu1	NA	0.00759	0	0	0.00595	0.01582	0.01768	0.01588	0.01325	0.01061	0.0082	0.00639	0.00454	0.00358	0.00337	0.00369	0.00164	0
2004	ZAF	HIV	HIV-	HIVu1	NA	0.00746	0	0	0.00578	0.01541	0.01737	0.01559	0.0129	0.01035	0.008	0.00619	0.00448	0.00349	0.00327	0.00358	0.00157	0
2005	ZAF	HIV	HIV-	HIVu1	NA	0.00724	0	0	0.00565	0.01509	0.01716	0.01547	0.01258	0.01014	0.00787	0.00603	0.00445	0.00342	0.0032	0.0035	0.00151	0
2006	ZAF	HIV	HIV-	HIVu1	NA	0.00694	0	0	0.00553	0.01475	0.0169	0.01515	0.01244	0.00993	0.00773	0.00587	0.00441	0.00335	0.00313	0.00342	0.00146	0
2007	ZAF	HIV	HIV-	HIVu1	NA	0.00599	0	0	0.00536	0.01428	0.01645	0.0148	0.01211	0.00963	0.0075	0.00568	0.00433	0.00325	0.00304	0.0033	0.00141	0
2008	ZAF	HIV	HIV-	HIVu1	NA	0.00558	0	0	0.00517	0.01374	0.01589	0.01438	0.01172	0.00929	0.00723	0.00546	0.00419	0.00315	0.00293	0.00317	0.00135	0
2009	ZAF	HIV	HIV-	HIVu1	NA	0.00393	0	0	0.00467	0.01236	0.01432	0.01307	0.01064	0.00837	0.0065	0.00492	0.00376	0.00287	0.00265	0.00285	0.0012	0
2010	ZAF	HIV	HIV-	HIVu1	NA	0.00293	0	0	0.00449	0.01186	0.01375	0.01266	0.01037	0.00801	0.00624	0.00474	0.00359	0.00279	0.00254	0.00273	0.00114	0
2011	ZAF	HIV	HIV-	HIVu1	NA	0.00309	0	0	0.00457	0.01205	0.01395	0.01297	0.01058	0.00824	0.00634	0.00482	0.00364	0.00288	0.00259	0.00278	0.00114	0
