"cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
0.8879,0.8329,0.7639,0.7287,0.6491
0.8969,0.836,0.774,0.737,0.6512
0.8894,0.8306,0.7745,0.7384,0.6475
0.8863,0.8312,0.7614,0.7331,0.6483
0.8918,0.8284,0.7631,0.7338,0.6497
0.8852,0.8277,0.761,0.7364,0.6434
0.8862,0.8269,0.7614,0.7313,0.6496
0.8852,0.8238,0.7602,0.7438,0.6391
0.8902,0.8328,0.7623,0.7324,0.6579
0.8915,0.8294,0.7768,0.7279,0.6563
0.8906,0.8318,0.7641,0.7477,0.657
0.8865,0.8343,0.7642,0.7266,0.6427
0.8924,0.8331,0.762,0.7312,0.6616
0.8811,0.8278,0.7624,0.739,0.6578
0.8819,0.8281,0.7635,0.7405,0.6497
0.8869,0.8419,0.775,0.7417,0.6621
0.8925,0.8348,0.7574,0.725,0.6555
0.8888,0.8179,0.7709,0.7396,0.6521
0.8915,0.8297,0.7653,0.7307,0.6498
0.8925,0.8331,0.7705,0.7431,0.659
0.8827,0.8273,0.7529,0.7233,0.6594
0.8919,0.8289,0.7664,0.7346,0.6519
0.8878,0.84,0.77,0.7468,0.6575
0.8865,0.826,0.7654,0.745,0.6579
0.8877,0.8286,0.7708,0.7368,0.647
0.8807,0.8385,0.7697,0.729,0.655
0.8897,0.8393,0.7661,0.743,0.6489
0.8903,0.833,0.7655,0.7311,0.6659
0.8881,0.8345,0.7698,0.7313,0.6589
0.8896,0.831,0.7573,0.7316,0.6564
0.8884,0.8216,0.7628,0.7322,0.6489
0.8863,0.8292,0.7522,0.7276,0.6505
0.8912,0.8352,0.7712,0.7238,0.652
0.8833,0.8293,0.754,0.7097,0.6618
0.8795,0.8269,0.7591,0.7303,0.6482
0.8914,0.8275,0.7608,0.7351,0.6552
0.8858,0.8279,0.7731,0.7364,0.6448
0.8875,0.8323,0.7741,0.7384,0.6569
0.8912,0.8328,0.7714,0.7376,0.6489
0.8868,0.8273,0.7522,0.7218,0.6591
0.8921,0.8356,0.7751,0.7348,0.6615
0.89,0.8342,0.7736,0.7329,0.6592
0.8874,0.828,0.7778,0.7518,0.6509
0.8906,0.8278,0.7582,0.7411,0.6437
0.8913,0.8305,0.7631,0.7348,0.6559
0.8907,0.8276,0.7649,0.7433,0.639
0.8825,0.8293,0.7611,0.7332,0.6541
0.8917,0.8247,0.7628,0.742,0.6492
0.8798,0.8302,0.7564,0.7181,0.6611
0.8879,0.8261,0.7714,0.7352,0.6586
0.8981,0.8255,0.7694,0.7355,0.6541
0.8927,0.8296,0.7619,0.7373,0.6523
0.8899,0.8313,0.7678,0.7302,0.6456
0.8883,0.8327,0.773,0.7266,0.644
0.8896,0.8264,0.7739,0.7416,0.6453
0.8836,0.8243,0.7709,0.7304,0.6484
0.8881,0.8245,0.7632,0.7294,0.6518
0.8931,0.8263,0.7712,0.7364,0.655
0.8898,0.8331,0.764,0.732,0.6637
0.8918,0.8315,0.77,0.7508,0.6566
0.8833,0.8403,0.7692,0.7381,0.6592
0.889,0.8281,0.7665,0.7436,0.6548
0.8947,0.8261,0.7649,0.7379,0.646
0.8854,0.8271,0.7682,0.7305,0.6563
0.8906,0.8237,0.7606,0.7365,0.6643
0.8873,0.833,0.7633,0.7176,0.6532
0.8921,0.8311,0.774,0.7356,0.6495
0.8906,0.8247,0.7603,0.7319,0.6554
0.8882,0.8238,0.7648,0.7315,0.6541
0.8914,0.8263,0.7615,0.7299,0.6481
0.8898,0.8329,0.7686,0.727,0.6482
0.8861,0.8278,0.7684,0.7304,0.6416
0.8845,0.8242,0.7556,0.7375,0.6511
0.8923,0.8282,0.7712,0.7331,0.6543
0.8914,0.827,0.7673,0.7311,0.6407
0.8859,0.826,0.7637,0.7372,0.6531
0.8828,0.8227,0.7658,0.7411,0.6371
0.8866,0.8331,0.766,0.7397,0.6488
0.8912,0.8328,0.7683,0.7319,0.6547
0.8946,0.8306,0.7588,0.7223,0.6618
0.8891,0.8274,0.7606,0.7269,0.6425
0.8943,0.8302,0.7627,0.7242,0.6571
0.8854,0.8411,0.7752,0.7372,0.656
0.8847,0.8355,0.7649,0.7279,0.6559
0.8877,0.8371,0.7573,0.7264,0.6508
0.8833,0.8273,0.7553,0.7286,0.6443
0.8825,0.8275,0.7725,0.7364,0.6546
0.8863,0.8308,0.7704,0.7497,0.656
0.8923,0.83,0.7657,0.7277,0.6463
0.8873,0.8235,0.7572,0.7234,0.6435
0.8909,0.8362,0.7572,0.7184,0.6544
0.8806,0.8276,0.7586,0.7264,0.6482
0.8842,0.8351,0.7536,0.7231,0.6608
0.8892,0.8257,0.7677,0.7395,0.652
0.8854,0.822,0.7623,0.7246,0.6614
0.8837,0.8314,0.773,0.7393,0.6685
0.8915,0.8316,0.7655,0.7323,0.6498
0.8845,0.832,0.7586,0.735,0.6505
0.8861,0.8285,0.7646,0.7283,0.6455
0.8873,0.8319,0.761,0.7279,0.6518
0.8954,0.8328,0.7717,0.724,0.6528
0.8906,0.8332,0.7666,0.7359,0.6405
0.8937,0.8289,0.7701,0.7324,0.6609
0.8891,0.83,0.7708,0.732,0.6492
0.8944,0.8362,0.7807,0.7357,0.6497
0.8843,0.834,0.7688,0.7336,0.6579
0.8888,0.8334,0.7723,0.739,0.6531
0.8895,0.8248,0.7596,0.7206,0.6495
0.8897,0.8363,0.7724,0.7303,0.6635
0.8917,0.829,0.7592,0.7247,0.643
0.8928,0.8311,0.7638,0.7308,0.6626
0.8874,0.8326,0.7716,0.7317,0.6544
0.884,0.8287,0.7655,0.7349,0.6468
0.8922,0.8286,0.7647,0.7289,0.6565
0.8883,0.8245,0.7705,0.7395,0.6436
0.8815,0.8182,0.7635,0.7152,0.6476
0.8909,0.8338,0.7622,0.7412,0.6621
0.8852,0.8257,0.7692,0.7496,0.6562
0.8869,0.8302,0.7641,0.7255,0.649
0.884,0.83,0.772,0.7468,0.6471
0.8818,0.8304,0.764,0.7305,0.6494
0.8923,0.8271,0.7659,0.7239,0.6434
0.893,0.8289,0.762,0.7267,0.6536
0.8874,0.8382,0.7646,0.7439,0.6423
0.8865,0.8203,0.773,0.7391,0.655
0.8907,0.8319,0.761,0.7273,0.6503
0.8801,0.8295,0.7618,0.729,0.6477
0.8914,0.8322,0.7593,0.7197,0.6564
0.8881,0.8229,0.7596,0.7404,0.6498
0.8833,0.8333,0.7717,0.7284,0.6531
0.8857,0.835,0.7728,0.7324,0.6538
0.8872,0.8369,0.7793,0.7472,0.652
0.8928,0.8366,0.7769,0.743,0.6457
0.8854,0.8352,0.7631,0.7278,0.6558
0.8868,0.8378,0.7721,0.7366,0.6604
0.8844,0.8236,0.7641,0.7368,0.651
0.8882,0.8311,0.7565,0.7176,0.6592
0.886,0.8324,0.7669,0.7286,0.6571
0.8926,0.8314,0.7661,0.7284,0.6549
0.8858,0.8291,0.761,0.7306,0.6415
0.8829,0.8227,0.7574,0.7114,0.6508
0.8869,0.8245,0.7659,0.7316,0.6579
0.8863,0.8327,0.7648,0.724,0.649
0.8882,0.8444,0.7719,0.7299,0.6698
0.8868,0.8272,0.7644,0.7281,0.6565
0.8893,0.8294,0.7642,0.7287,0.6568
0.8898,0.8309,0.7703,0.7404,0.6403
0.8894,0.8325,0.773,0.722,0.6439
0.8915,0.8317,0.7713,0.7374,0.6442
0.8877,0.8401,0.7722,0.7335,0.6562
0.8897,0.8244,0.7705,0.7233,0.6478
0.8934,0.8334,0.7686,0.7409,0.65
0.891,0.8298,0.7644,0.7378,0.6606
0.8786,0.8388,0.7718,0.73,0.6592
0.8862,0.8208,0.7571,0.7436,0.6468
0.891,0.832,0.7622,0.7278,0.6543
0.8871,0.833,0.7641,0.7324,0.6533
0.889,0.8249,0.7713,0.7322,0.6472
0.8848,0.8352,0.7597,0.7222,0.6458
0.8918,0.8255,0.7771,0.7253,0.648
0.8888,0.8261,0.7629,0.7355,0.6472
0.8921,0.8336,0.7583,0.735,0.6535
0.8928,0.8341,0.771,0.7345,0.6561
0.8913,0.828,0.7627,0.7442,0.6555
0.8856,0.8228,0.7704,0.7382,0.6448
0.8901,0.8342,0.7782,0.7364,0.6613
0.8922,0.8322,0.7629,0.7314,0.6543
0.8918,0.8354,0.7645,0.725,0.6614
0.8876,0.8241,0.7582,0.7193,0.6499
0.8881,0.8265,0.7712,0.7372,0.6418
0.8883,0.8268,0.7683,0.7406,0.6589
0.8824,0.8367,0.7675,0.734,0.6479
0.8884,0.8231,0.7538,0.713,0.6451
0.8878,0.8346,0.7632,0.7272,0.6593
0.8872,0.824,0.7672,0.7277,0.6562
0.8868,0.8354,0.7708,0.7409,0.6594
0.8889,0.8323,0.7616,0.716,0.6619
0.89,0.8263,0.7604,0.7298,0.659
0.8858,0.8337,0.7594,0.7294,0.6647
0.8887,0.833,0.764,0.7274,0.6433
0.8863,0.8352,0.7582,0.7197,0.653
0.8909,0.8279,0.7662,0.7333,0.6361
0.8897,0.8273,0.7726,0.7354,0.6546
0.8941,0.8281,0.7699,0.7386,0.657
0.8866,0.8353,0.765,0.7293,0.6641
0.8893,0.8279,0.7715,0.7269,0.6564
0.886,0.8373,0.7656,0.7234,0.6549
0.8861,0.8301,0.7665,0.7384,0.656
0.8834,0.8251,0.7712,0.7379,0.6618
0.8922,0.832,0.7669,0.7324,0.6604
0.8918,0.8316,0.772,0.7419,0.6635
0.8872,0.823,0.7613,0.7197,0.6635
0.8939,0.8297,0.7615,0.7366,0.6626
0.892,0.8295,0.7685,0.7363,0.648
0.8922,0.836,0.7613,0.737,0.6623
0.8856,0.827,0.7571,0.7347,0.6531
0.8843,0.8309,0.7644,0.7431,0.6502
0.8821,0.8173,0.7618,0.7435,0.6396
0.8825,0.828,0.7577,0.7169,0.6358
0.8913,0.8277,0.7693,0.7351,0.647
0.8867,0.8322,0.7564,0.7192,0.6551
0.8902,0.8365,0.7861,0.7462,0.6609
0.8893,0.8275,0.7601,0.7326,0.6495
0.885,0.8245,0.7746,0.7223,0.6555
0.8875,0.823,0.7527,0.7425,0.6518
0.8917,0.8394,0.7668,0.7316,0.6544
0.8813,0.8307,0.7641,0.7286,0.6487
0.8927,0.832,0.7694,0.7431,0.6407
0.8832,0.8346,0.762,0.7296,0.6596
0.8865,0.8335,0.7623,0.7346,0.6594
0.8897,0.8326,0.7735,0.7313,0.6453
0.8801,0.8322,0.7698,0.7276,0.6545
0.8916,0.8339,0.7558,0.7316,0.6458
0.8845,0.8356,0.7637,0.7291,0.6403
0.8776,0.8297,0.759,0.7328,0.6508
0.8861,0.8283,0.7637,0.7297,0.6639
0.8895,0.8219,0.7542,0.7267,0.6543
0.8836,0.8331,0.7712,0.7175,0.6433
0.893,0.8256,0.7705,0.7281,0.6507
0.8876,0.8307,0.7606,0.7404,0.6529
0.8844,0.8262,0.76,0.7232,0.6544
0.8869,0.8332,0.7726,0.7408,0.6531
0.8981,0.8316,0.7816,0.7492,0.6474
0.8883,0.8349,0.7757,0.7275,0.6687
0.8857,0.8318,0.7661,0.7195,0.6641
0.885,0.8316,0.7632,0.7379,0.6541
0.8815,0.8334,0.7722,0.7304,0.6543
0.8871,0.8219,0.765,0.7343,0.6612
0.8872,0.8337,0.7714,0.724,0.6531
0.8877,0.8273,0.7594,0.741,0.6438
0.8883,0.8275,0.7643,0.74,0.6446
0.8892,0.8326,0.7647,0.7346,0.6554
0.8956,0.8314,0.7687,0.7293,0.6628
0.882,0.831,0.7589,0.7312,0.6611
0.8848,0.8337,0.7578,0.7374,0.6541
0.8897,0.8377,0.7748,0.7464,0.6552
0.8868,0.8233,0.7665,0.7143,0.652
0.8961,0.8249,0.7628,0.7353,0.6423
0.8796,0.8275,0.7608,0.7415,0.6569
0.8854,0.825,0.7688,0.7326,0.6429
0.8886,0.8286,0.7653,0.7254,0.6386
0.8817,0.828,0.7663,0.7208,0.6513
0.886,0.8265,0.7733,0.7499,0.6562
0.8915,0.8352,0.7606,0.7274,0.656
0.8877,0.8297,0.7663,0.7321,0.6462
0.8828,0.8303,0.7687,0.7287,0.6505
0.8841,0.8235,0.7571,0.7258,0.651
0.8885,0.8348,0.7754,0.7269,0.6575
0.8928,0.8286,0.768,0.7343,0.6666
0.879,0.8352,0.755,0.7196,0.6518
0.8885,0.8319,0.7645,0.7226,0.6545
0.8898,0.832,0.7636,0.7181,0.6669
0.8886,0.8298,0.7717,0.7281,0.6477
0.8817,0.8401,0.7699,0.7252,0.6531
0.8833,0.82,0.7619,0.7251,0.6477
0.8828,0.8303,0.7579,0.7331,0.6532
0.8894,0.8321,0.7741,0.7384,0.6604
0.8886,0.8289,0.7639,0.7319,0.6521
0.8928,0.8279,0.7525,0.7469,0.6433
0.8915,0.832,0.7635,0.7454,0.6567
0.889,0.829,0.7607,0.729,0.6506
0.8888,0.8291,0.7612,0.7226,0.6456
0.8886,0.8313,0.7824,0.7487,0.6569
0.8867,0.8257,0.7621,0.7377,0.6482
0.8886,0.8331,0.7662,0.7277,0.6486
0.8868,0.8286,0.7659,0.7329,0.64
0.8863,0.8257,0.7602,0.732,0.6567
0.8838,0.8289,0.7723,0.7285,0.6499
0.8855,0.8285,0.7641,0.7386,0.6649
0.8857,0.8217,0.7559,0.7261,0.6462
0.888,0.8333,0.7661,0.7352,0.6587
0.8889,0.8227,0.7568,0.7164,0.6515
0.8863,0.8349,0.7818,0.7477,0.6504
0.8789,0.8313,0.7668,0.7269,0.6674
0.8923,0.8327,0.766,0.7492,0.6474
0.8865,0.824,0.7661,0.7433,0.6479
0.8841,0.8374,0.7628,0.7181,0.6604
0.889,0.8273,0.7734,0.7386,0.6506
0.8837,0.8256,0.7771,0.7382,0.642
0.8927,0.8261,0.76,0.7431,0.6359
0.8814,0.8361,0.7595,0.7358,0.6557
0.8887,0.8235,0.7588,0.7346,0.653
0.8837,0.8312,0.7671,0.7176,0.6497
0.887,0.8367,0.7695,0.738,0.6515
0.8865,0.8316,0.7674,0.7322,0.6454
0.8897,0.8319,0.7701,0.7338,0.6588
0.8877,0.8313,0.7646,0.7203,0.6506
0.8881,0.8377,0.7549,0.7274,0.6583
0.8909,0.8329,0.7716,0.7375,0.6436
0.8922,0.8334,0.7565,0.7291,0.6511
0.8921,0.8386,0.7689,0.7301,0.6564
0.8845,0.8228,0.7615,0.7332,0.6331
0.8911,0.8302,0.7704,0.7227,0.6473
0.8878,0.832,0.7539,0.7293,0.6584
0.8875,0.829,0.7641,0.7334,0.6497
0.8898,0.8323,0.7561,0.7237,0.6586
0.8923,0.8294,0.7724,0.7472,0.652
0.8878,0.8278,0.7552,0.7295,0.6499
0.8888,0.8329,0.767,0.7316,0.6498
0.8874,0.8281,0.7735,0.7241,0.6601
0.8902,0.8315,0.7623,0.729,0.6526
0.8834,0.824,0.7545,0.729,0.6492
0.8833,0.8296,0.7643,0.7214,0.6483
0.8863,0.823,0.7613,0.7378,0.6445
0.8898,0.8384,0.7591,0.7302,0.6481
0.8854,0.8317,0.7667,0.7419,0.6465
0.8889,0.8315,0.7687,0.7478,0.6605
0.8938,0.8313,0.7673,0.736,0.6616
0.8917,0.8265,0.7704,0.7323,0.6521
0.8874,0.825,0.7714,0.7305,0.6635
0.8874,0.8206,0.7679,0.7351,0.6497
0.8903,0.8337,0.7691,0.7323,0.6528
0.8815,0.8278,0.77,0.7505,0.6408
0.8891,0.8339,0.754,0.7205,0.6589
0.8888,0.8303,0.7707,0.7241,0.6507
0.8854,0.8242,0.7663,0.7277,0.649
0.8941,0.8331,0.7673,0.7312,0.667
0.8874,0.8241,0.7583,0.7335,0.6546
0.8891,0.8379,0.7599,0.7237,0.6628
0.8806,0.8311,0.7559,0.7319,0.6564
0.8921,0.8328,0.7711,0.7276,0.6696
0.8806,0.8287,0.7613,0.7345,0.6578
0.8904,0.8316,0.7627,0.7269,0.6466
0.8833,0.834,0.7542,0.7121,0.6582
0.8901,0.8284,0.7592,0.7214,0.6471
0.8851,0.8388,0.7637,0.7285,0.6522
0.8828,0.8356,0.7653,0.7234,0.6553
0.885,0.824,0.7692,0.7321,0.6578
0.8822,0.8298,0.7803,0.7486,0.6437
0.889,0.831,0.7632,0.7278,0.6515
0.8854,0.8337,0.7627,0.7226,0.6612
0.8923,0.828,0.769,0.7289,0.6511
0.89,0.8311,0.7659,0.7351,0.6566
0.8869,0.8291,0.7646,0.7386,0.6572
0.8933,0.8197,0.7642,0.7166,0.6293
0.8955,0.8349,0.7686,0.7323,0.6614
0.8871,0.8312,0.7603,0.7315,0.6431
0.8891,0.8379,0.7612,0.7257,0.6611
0.8939,0.8296,0.7724,0.7342,0.6506
0.8873,0.8187,0.7647,0.7342,0.6412
0.8893,0.8331,0.7601,0.7165,0.6541
0.8882,0.8242,0.7586,0.7349,0.6526
0.8841,0.8317,0.7507,0.7249,0.6566
0.8893,0.8255,0.7645,0.7298,0.6504
0.8872,0.83,0.758,0.727,0.6539
0.8858,0.8315,0.7658,0.7455,0.6502
0.8909,0.8393,0.7738,0.7403,0.6587
0.8873,0.824,0.7566,0.7204,0.6556
0.8872,0.8373,0.777,0.744,0.6526
0.893,0.8356,0.7708,0.745,0.6662
0.8894,0.8343,0.7703,0.7322,0.6468
0.8883,0.8388,0.7663,0.7293,0.6554
0.8908,0.8226,0.7628,0.7302,0.6481
0.8891,0.833,0.7761,0.7414,0.6511
0.8884,0.832,0.7745,0.7406,0.6583
0.8862,0.8389,0.7702,0.7323,0.6521
0.8911,0.8337,0.7664,0.7441,0.6599
0.8889,0.8315,0.7621,0.7372,0.6622
0.8916,0.8345,0.7667,0.7461,0.656
0.8901,0.8255,0.7612,0.7328,0.6536
0.8945,0.8335,0.7709,0.7274,0.6592
0.8939,0.8336,0.7699,0.7365,0.6495
0.8925,0.831,0.7737,0.7346,0.6544
0.8891,0.829,0.755,0.7316,0.6471
0.8853,0.831,0.758,0.7184,0.6453
0.8895,0.8208,0.7534,0.7232,0.6413
0.8824,0.8282,0.7637,0.7426,0.6503
0.8879,0.8285,0.7686,0.7358,0.6455
0.8864,0.8312,0.7761,0.7324,0.6514
0.8863,0.8334,0.7582,0.7197,0.6588
0.8915,0.8352,0.7641,0.7312,0.6509
0.8914,0.8388,0.7784,0.7354,0.6569
0.887,0.8261,0.764,0.728,0.6432
0.8876,0.8356,0.7712,0.7362,0.6521
0.8917,0.827,0.7697,0.7344,0.6401
0.8858,0.8366,0.7721,0.7348,0.6542
0.8911,0.8333,0.7631,0.7305,0.6608
0.8899,0.8289,0.7539,0.7333,0.6573
0.8863,0.8344,0.7576,0.7257,0.6566
0.8913,0.8348,0.7579,0.7183,0.6563
0.8873,0.8295,0.7689,0.7367,0.6513
0.8904,0.829,0.7555,0.7246,0.6441
0.8912,0.8341,0.7765,0.7394,0.6595
0.8896,0.8235,0.7691,0.7471,0.6595
0.8883,0.8357,0.7746,0.7282,0.6466
0.8875,0.8349,0.7749,0.7255,0.6581
0.8882,0.8235,0.7628,0.7372,0.6577
0.892,0.8319,0.7661,0.7178,0.648
0.8848,0.8339,0.7707,0.732,0.6582
0.891,0.8321,0.7646,0.7277,0.6498
0.8916,0.8335,0.7665,0.7349,0.6513
0.8936,0.8316,0.7657,0.7289,0.6574
0.8821,0.8277,0.7509,0.7233,0.6542
0.8873,0.8311,0.7638,0.7275,0.6642
0.897,0.8335,0.7653,0.7367,0.6643
0.8881,0.8391,0.7691,0.7195,0.6434
0.8868,0.8293,0.7738,0.7401,0.6626
0.8928,0.8303,0.762,0.7389,0.6573
0.8913,0.8375,0.7634,0.7387,0.65
0.8888,0.8281,0.7655,0.7397,0.6397
0.886,0.8344,0.7657,0.7333,0.6539
0.8823,0.8327,0.7548,0.7246,0.6503
0.8926,0.8338,0.7731,0.7241,0.654
0.887,0.8391,0.7626,0.7413,0.6574
0.8939,0.8203,0.7628,0.735,0.6489
0.8899,0.8305,0.7685,0.7345,0.658
0.8801,0.8398,0.7687,0.7424,0.6522
0.8874,0.8363,0.7637,0.7401,0.6533
0.8915,0.8335,0.7549,0.7325,0.6437
0.8916,0.8314,0.7589,0.7235,0.654
0.884,0.8324,0.7698,0.7325,0.6493
0.8857,0.8309,0.7568,0.7309,0.6555
0.8931,0.8284,0.764,0.7303,0.671
0.8894,0.8301,0.766,0.742,0.6531
0.8877,0.8307,0.7676,0.7373,0.6463
0.8845,0.8366,0.7673,0.7348,0.6551
0.888,0.8391,0.748,0.7275,0.6495
0.8911,0.8351,0.7577,0.7264,0.6544
0.8904,0.8374,0.7701,0.7245,0.6521
0.8897,0.8229,0.7615,0.7203,0.6454
0.8844,0.8226,0.7629,0.7341,0.6487
0.875,0.8253,0.7612,0.7306,0.6383
0.8894,0.8308,0.7665,0.7356,0.6672
0.895,0.8192,0.7614,0.7246,0.6385
0.886,0.8307,0.7649,0.731,0.6536
0.8875,0.8238,0.7697,0.7349,0.6514
0.8943,0.8316,0.7714,0.729,0.6643
0.8914,0.8404,0.7782,0.7276,0.663
0.8889,0.8267,0.7776,0.7387,0.6449
0.8873,0.8275,0.7637,0.7169,0.6598
0.887,0.8281,0.766,0.7344,0.6567
0.8867,0.8314,0.7647,0.7299,0.6524
0.8915,0.8337,0.7763,0.749,0.6568
0.8835,0.8297,0.7674,0.7318,0.6556
