nhits,uid,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,multiplier,omegaS0,pR,pT,rho,sageA15,sigma,theta,zeta
3,668e2e455d8f959c917025293da98034,0.135948639501914,1.97587401451559,0.618292748704887,0.906847232316545,0.440131276724151,0.979859743780641,0.0147509164409091,0.131882412950297,0.00801020375054692,1.73784591111712,0.0313986877760474,0.674317886120534,0.000602804926338657,0.0186926145883935,0.602088135914656,0.000925605122573797,0.104957608964858,1.33026552827825
3,ccc2315ca265a7d66ead684c7bf768c9,0.119770628584197,1.84783174520727,0.651327349484315,0.840235671621002,0.38163342008079,0.93157113025391,0.127341019149443,0.145421660880301,0.0127456089097328,1.44399549853116,0.0302496214563034,0.637296166075941,0.000702640836149302,0.0182741805853451,0.947035954400508,0.00109795625927387,0.0967249168346524,1.29057058910414
3,312476eec8cafd5acf7615af73562b8e,0.158865009187559,1.93362403739005,0.560577359826067,0.868097615263792,0.492980394418609,0.840865679847452,0.089359736544816,0.166822154967816,0.00628807199235799,1.14072682651492,0.033114733957575,0.623913643477851,0.000731816897898197,0.0170805679553423,0.797490025395965,0.000724636937384188,0.108659086192884,1.28938725536416
3,88fa23810f3c4f49eea4e2cc11797129,0.136894768589892,1.87624117944082,0.183267608264817,0.367414576213627,0.426579478300353,0.895032435878995,0.034319646292098,0.169557245734678,0.0169102277772512,0.72763901508474,0.0273135603708983,0.7180290510249,0.000644846799514267,0.0207399503243022,0.648115780236335,0.000918254055122178,0.108656819983706,1.25813779640815
3,2e1884a310b07e2f80074ae152c0cad9,0.114881671300288,1.63126522001757,0.492430351905176,0.583417707823692,0.384186773742155,0.828647282360471,0.00930085309644536,0.126716714238012,0.0164841171441116,0.889680638792642,0.0336696520415058,0.740695099562127,0.000691653528674042,0.0167459424767932,0.853771493227365,0.000724119287080734,0.104487196700297,1.30776477527281
3,8ef8cc30642f9dd2e73d7c5221bc051e,0.167529165690592,1.86356534266151,0.0872915287247216,0.521637100099852,0.464895679968056,0.948486925891018,0.0721549058025338,0.136372295293023,0.00946540549782664,1.22230518275188,0.03191477411438,0.767981324823223,0.000820662487675376,0.019182130866912,0.829493192450146,0.00106499328305175,0.0937710461389435,1.32004755598977
3,ec9157d1ee6a3de2feceb1ecae875c8b,0.142693871280643,1.74719506573902,0.381638243226955,0.562676409131153,0.424103370658602,0.384204912729631,0.0509568183430577,0.131089667860755,0.00854251815784276,1.26268193156766,0.0295869165783755,0.687463910682624,0.000615999663815383,0.0182626119923219,0.605834149146781,0.00100468124613478,0.0954000109272916,1.28346547358339
3,dcc0131d9860e5219f244572592fca08,0.159254973672761,1.94376820367348,0.146738183977387,0.806749525563125,0.529268419770072,0.918053834696184,0.0405933062909073,0.154036566232234,0.00502073050647534,0.668444217801159,0.0345787936507029,0.768834717867657,0.000679975035433411,0.0213698526002182,0.738533450953601,0.000925401737044241,0.108687445566958,1.18088541531168
3,b0b65aac880aba2e19dc2a66b6ec27af,0.184327596389755,1.8268658151498,0.149668276445664,0.782416052169102,0.660774880236427,0.650102258895384,0.115105513701913,0.131086372525739,0.00809331231021322,1.527375816636,0.0270459459329777,0.681004819364758,0.000656151136460588,0.0228781089816837,0.709750723400976,0.000724494560781527,0.105429084936972,1.32236369300044
3,f310fd96193774c4f4af64fef7e05db9,0.160458239477307,1.99258009409811,0.523077060598521,0.598211388420253,0.73847000378828,0.66424052534122,0.0894382305251538,0.147485719668012,0.0123456021907147,1.88824754921876,0.0287089488877646,0.729762896437609,0.000681990544019558,0.0218255722255303,0.678269463731335,0.000882421809262032,0.103939906152604,1.23169284164438
3,1f5604aa66976a75a365fe5e76be40db,0.117297358007406,1.92279905977623,0.567982636686505,0.809568470998201,0.461109674199406,0.879979663511692,0.0332439131695271,0.173766831225113,0.0128939215846755,0.814321089413955,0.0299415371652035,0.757255756897257,0.000835957738687206,0.0166522250825029,0.950778624010932,0.000884354678525706,0.101131454130959,1.2405544176442
3,6ecb21515ac154deabf0bc45065ef414,0.186378656287173,1.81600728082069,0.251720216895394,0.488019470463393,0.708909636330215,0.859758177829976,0.123881348391775,0.153228627906789,0.0192026413437612,1.39168386241989,0.0266859784900906,0.623696979069393,0.000718688269092077,0.0195484181630572,0.694235446090422,0.000716562386913537,0.104554071060997,1.26871051913677
3,faa387b9ebdfb5344130729a53a542f9,0.133328114395805,1.97094020795292,0.518317416626111,0.716139723144299,0.789628159035149,0.809246686419402,0.0634044572857509,0.169518718178868,0.0119517179408014,0.909233793746124,0.029150690413701,0.723736479360752,0.000818604520686552,0.0169986125066008,0.878103186023335,0.000737867370863488,0.102412202230723,1.22286553000796
3,128e0f8e40e2bc5409edbe5fae70dc5c,0.149695974850385,1.5955298598687,0.264074872461713,0.919177796138069,0.56676000337976,0.798853885568469,0.0104926384560301,0.169395420720198,0.00637940124705024,1.41077770129446,0.0317601465171158,0.649520243452019,0.000654015804638911,0.0217883621138217,0.95840930340942,0.000951889992067531,0.0999509757582327,1.28100331306377
