"country","code","age","lx","lx_sum","lx_per"
"Afghanistan","AFG",80,6276.36881337555,37630.535,0.166789252753796
"Afghanistan","AFG",81,5683.80364130974,37630.535,0.151042328824444
"Afghanistan","AFG",82,5093.27678609061,37630.535,0.135349571460799
"Afghanistan","AFG",83,4508.86488141153,37630.535,0.119819313794277
"Afghanistan","AFG",84,3936.68287781255,37630.535,0.104614055522
"Afghanistan","AFG",85,3384.88404268041,37630.535,0.0899504629067966
"Afghanistan","AFG",86,2863.65996024851,37630.535,0.0760993687772047
"Afghanistan","AFG",87,2381.33256334139,37630.535,0.0632819215390212
"Afghanistan","AFG",88,1944.35413337465,37630.535,0.0516695851753011
"Afghanistan","AFG",89,1557.30730035504,37630.535,0.0413841392463604
"Afghanistan","AFG",90,1222.90504288038,4499.473,0.271788505649524
"Afghanistan","AFG",91,941.990688139627,4499.473,0.209355781919266
"Afghanistan","AFG",92,713.03191559945,4499.473,0.158470095408829
"Afghanistan","AFG",93,532.120757004275,4499.473,0.118262907012505
"Afghanistan","AFG",94,392.973596376265,4499.473,0.0873376940757873
"Afghanistan","AFG",95,286.931170015323,4499.473,0.0637699503953736
"Afghanistan","AFG",96,202.958566499094,4499.473,0.0451071862191626
"Afghanistan","AFG",97,132.227856689692,4499.473,0.0293874097454729
"Afghanistan","AFG",98,68.1180937337037,4499.473,0.0151391271230439
"Afghanistan","AFG",99,6.21531306218677,4499.473,0.00138134245103521
"Angola","AGO",80,4991.18316896237,29172.483,0.171092161368724
"Angola","AGO",81,4494.82812171289,29172.483,0.154077667016307
"Angola","AGO",82,4000.62310435307,29172.483,0.137136873277227
"Angola","AGO",83,3512.86817666225,29172.483,0.120417181378159
"Angola","AGO",84,3038.01342830941,29172.483,0.104139693159112
"Angola","AGO",85,2584.65897885321,29172.483,0.0885992110734355
"Angola","AGO",86,2163.55497774198,29172.483,0.0741642381878149
"Angola","AGO",87,1782.54468831316,29172.483,0.0611036327731568
"Angola","AGO",88,1446.56448779336,29172.483,0.0495866083045917
"Angola","AGO",89,1157.6438672983,29172.483,0.0396827334614712
"Angola","AGO",90,914.90543183286,3511.322,0.260558681839165
"Angola","AGO",91,714.56490029105,3511.322,0.203503096637406
"Angola","AGO",92,552.20167411961,3511.322,0.157263182960609
"Angola","AGO",93,422.758837318013,3511.322,0.12039876642416
"Angola","AGO",94,320.543156438467,3511.322,0.0912884538753401
"Angola","AGO",95,239.22508058591,3511.322,0.0681296333933231
"Angola","AGO",96,171.838741418012,3511.322,0.0489384742891743
"Angola","AGO",97,112.811444260909,3511.322,0.0321279120117463
"Angola","AGO",98,57.9636681092042,3511.322,0.0165076481476789
"Angola","AGO",99,4.50906562596532,3511.322,0.00128415042139836
"Azerbaijan","AZE",80,9246.52921578034,59850.371,0.154494100225049
"Azerbaijan","AZE",81,8500.3519411388,59850.371,0.142026720956146
"Azerbaijan","AZE",82,7755.39169828362,59850.371,0.129579676261048
"Azerbaijan","AZE",83,7014.08255078755,59850.371,0.117193635287366
"Azerbaijan","AZE",84,6280.07559400968,59850.371,0.104929601756515
"Azerbaijan","AZE",85,5558.2389550955,59850.371,0.0928689139637163
"Azerbaijan","AZE",86,4854.65779297683,59850.371,0.0811132447779953
"Azerbaijan","AZE",87,4176.59463295581,59850.371,0.0697839388991559
"Azerbaijan","AZE",88,3532.48936670492,59850.371,0.0590220128577803
"Azerbaijan","AZE",89,2931.95925226694,59850.371,0.0489881550152286
"Azerbaijan","AZE",90,2385.79891405496,9623.269,0.247919798776794
"Azerbaijan","AZE",91,1905.98034285239,9623.269,0.198059551577784
"Azerbaijan","AZE",92,1498.46970134291,9623.269,0.155713167879118
"Azerbaijan","AZE",93,1163.22732411047,9623.269,0.120876525857322
"Azerbaijan","AZE",94,894.207717639284,9623.269,0.092921409308966
"Azerbaijan","AZE",95,679.359560313841,9623.269,0.0705955076506581
"Azerbaijan","AZE",96,500.625702418893,9623.269,0.0520224159190492
"Azerbaijan","AZE",97,343.560424182242,9623.269,0.0357010101434598
"Azerbaijan","AZE",98,197.329435774739,9623.269,0.02050544734588
"Azerbaijan","AZE",99,54.709877310285,9623.269,0.00568516554097002
"Bangladesh","BGD",80,9159.08920045476,64087.813,0.142914678652785
"Bangladesh","BGD",81,8536.63487902514,64087.813,0.133202156220015
"Bangladesh","BGD",82,7914.8051391204,64087.813,0.123499379501691
"Bangladesh","BGD",83,7294.84914379028,64087.813,0.1138258399267
"Bangladesh","BGD",84,6678.64063760941,64087.813,0.104210774638376
"Bangladesh","BGD",85,6068.67794667729,64087.813,0.0946931664944986
"Bangladesh","BGD",86,5468.0839786183,64087.813,0.0853217440672894
"Bangladesh","BGD",87,4881.21083649045,64087.813,0.0761644157913526
"Bangladesh","BGD",88,4313.63981878542,64087.813,0.0673082699636734
"Bangladesh","BGD",89,3772.18141942853,64087.813,0.0588595747436183
"Bangladesh","BGD",90,3264.87532777876,16755.177,0.194857704444349
"Bangladesh","BGD",91,2800.99042862874,16755.177,0.167171640659406
"Bangladesh","BGD",92,2385.46347132916,16755.177,0.142371726143458
"Bangladesh","BGD",93,2018.89906978881,16755.177,0.120494046096249
"Bangladesh","BGD",94,1697.56970247453,16755.177,0.101316130678568
"Bangladesh","BGD",95,1413.41571241126,16755.177,0.0843569550122485
"Bangladesh","BGD",96,1154.04530718199,16755.177,0.0688769391801704
"Bangladesh","BGD",97,909.54505285312,16755.177,0.054284419248637
"Bangladesh","BGD",98,672.47987397445,16755.177,0.0401356472673759
"Bangladesh","BGD",99,437.89305357918,16755.177,0.026134791269539
