county,code,Variant,Time,MidPeriod,SexID,Sex,AgeGrp,AgeGrpStart,AgeGrpSpan,mx,qx,px,lx,dx,Lx,Sx,Tx,ex,ax
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,55-59,55,5,0.01317387,0.0638948,0.9361052,82120.992,5247.104,398296.36,0.92054548,1699600.4,20.6963,2.65421
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,60-64,60,5,0.02052805,0.09790849,0.90209151,76873.888,7526.606,366649.91,0.87790706,1301304.1,16.9278,2.645748
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,65-69,65,5,0.03256063,0.15113448,0.84886552,69347.282,10480.765,321884.54,0.81129862,934654.17,13.4779,2.628812
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,70-74,70,5,0.05275699,0.23404132,0.76595868,58866.516,13777.197,261144.49,0.71252327,612769.63,10.4095,2.591085
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,75-79,75,5,0.08544585,0.35261208,0.64738792,45089.319,15899.039,186071.52,0.57676562,351625.14,7.7984,2.523431
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,80-84,80,5,0.13874276,0.51009531,0.48990469,29190.281,14889.825,107319.66,0.41536671,165553.61,5.6715,2.405494
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,85-89,85,5,0.21738713,0.67763357,0.32236643,14300.455,9690.469,44577.013,0.2636946,58233.958,4.0722,2.221469
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,90-94,90,5,0.3187975,0.81288187,0.18711813,4609.987,3747.375,11754.717,0.14914414,13656.945,2.9625,1.985832
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,95-99,95,5,0.44270521,0.89974089,0.10025911,862.612,776.127,1753.147,0.07837145,1902.227,2.2052,1.701684
Afghanistan,AFG,Medium,2025-2030,2028,3,Total,100+,100,-1,0.58012164,,,86.485,86.485,149.08,,149.08,1.7238,1.723776
Albania,ALB,Medium,2025-2030,2028,3,Total,0,0,1,0.00641072,0.00637258,0.99362742,100000,637.258,99405.051,0.99242209,7967585.9,79.6759,0.066392
Albania,ALB,Medium,2025-2030,2028,3,Total,4-Jan,1,4,0.00067021,0.0026765,0.9973235,99362.742,265.944,396805.99,0.99808199,7868180.9,79.1864,1.574776
Albania,ALB,Medium,2025-2030,2028,3,Total,9-May,5,5,0.00018147,0.00090693,0.99909307,99096.798,89.873,495259.31,0.99902263,7471374.9,75.3947,2.5
Albania,ALB,Medium,2025-2030,2028,3,Total,14-Oct,10,5,0.00021967,0.00109778,0.99890222,99006.925,108.688,494775.25,0.99867576,6976115.6,70.4609,2.613618
Albania,ALB,Medium,2025-2030,2028,3,Total,15-19,15,5,0.00031376,0.00156764,0.99843236,98898.237,155.037,494120.05,0.99828879,6481340.3,65.5354,2.606152
Albania,ALB,Medium,2025-2030,2028,3,Total,20-24,20,5,0.00036679,0.00183232,0.99816768,98743.2,180.929,493274.51,0.99804732,5987220.3,60.6343,2.559857
Albania,ALB,Medium,2025-2030,2028,3,Total,25-29,25,5,0.00041973,0.00209654,0.99790346,98562.271,206.64,492311.3,0.99765396,5493945.7,55.7409,2.580068
Albania,ALB,Medium,2025-2030,2028,3,Total,30-34,30,5,0.00054095,0.00270131,0.99729869,98355.631,265.689,491156.32,0.99645882,5001634.5,50.8525,2.659537
Albania,ALB,Medium,2025-2030,2028,3,Total,35-39,35,5,0.00090761,0.00452848,0.99547152,98089.941,444.198,489417.05,0.99462356,4510478.1,45.9831,2.675227
Albania,ALB,Medium,2025-2030,2028,3,Total,40-44,40,5,0.00126584,0.00631047,0.99368953,97645.743,616.191,486785.73,0.9920939,4021061.1,41.1801,2.658208
Albania,ALB,Medium,2025-2030,2028,3,Total,45-49,45,5,0.00196426,0.00977652,0.99022348,97029.553,948.612,482937.15,0.98802978,3534275.4,36.4247,2.669631
Albania,ALB,Medium,2025-2030,2028,3,Total,50-54,50,5,0.00291423,0.01447261,0.98552739,96080.941,1390.542,477156.29,0.98208678,3051338.2,31.758,2.663918
Albania,ALB,Medium,2025-2030,2028,3,Total,55-59,55,5,0.00444182,0.02198191,0.97801809,94690.399,2081.476,468608.88,0.97240891,2574181.9,27.1852,2.673231
Albania,ALB,Medium,2025-2030,2028,3,Total,60-64,60,5,0.00699736,0.03443028,0.96556972,92608.923,3188.551,455679.45,0.95520657,2105573,22.7362,2.690123
Albania,ALB,Medium,2025-2030,2028,3,Total,65-69,65,5,0.01186541,0.0577568,0.9422432,89420.372,5164.635,435268.01,0.92263162,1649893.6,18.451,2.708676
Albania,ALB,Medium,2025-2030,2028,3,Total,70-74,70,5,0.02145226,0.10224891,0.89775109,84255.737,8615.057,401592.03,0.86010465,1214625.6,14.4159,2.714855
Albania,ALB,Medium,2025-2030,2028,3,Total,75-79,75,5,0.04124179,0.18832956,0.81167044,75640.68,14245.376,345411.17,0.73941193,813033.56,10.7486,2.698044
Albania,ALB,Medium,2025-2030,2028,3,Total,80-84,80,5,0.0838357,0.34875196,0.65124804,61395.303,21411.732,255401.14,0.56648259,467622.4,7.6166,2.591256
Albania,ALB,Medium,2025-2030,2028,3,Total,85-89,85,5,0.1477969,0.53480214,0.46519786,39983.571,21383.299,144680.3,0.38001268,212221.26,5.3077,2.41679
Albania,ALB,Medium,2025-2030,2028,3,Total,90-94,90,5,0.24599671,0.7271391,0.2728609,18600.272,13524.985,54980.348,0.20840563,67540.957,3.6312,2.188832
Albania,ALB,Medium,2025-2030,2028,3,Total,95-99,95,5,0.38786311,0.87565858,0.12434142,5075.287,4444.218,11458.214,0.08776607,12560.609,2.4749,1.868241
Albania,ALB,Medium,2025-2030,2028,3,Total,100+,100,-1,0.57245195,,,631.068,631.068,1102.395,,1102.395,1.7469,1.746871
Angola,AGO,Medium,2025-2030,2028,3,Total,0,0,1,0.04809022,0.04626674,0.95373326,100000,4626.674,96208.214,0.9478598,6376684.9,63.7668,0.180451
Angola,AGO,Medium,2025-2030,2028,3,Total,4-Jan,1,4,0.00396037,0.01568487,0.98431513,95373.326,1495.918,377721.68,0.98684043,6280476.7,65.8515,1.478726
Angola,AGO,Medium,2025-2030,2028,3,Total,9-May,5,5,0.00144869,0.0072173,0.9927827,93877.408,677.541,467693.19,0.99381404,5902755,62.8773,2.5
Angola,AGO,Medium,2025-2030,2028,3,Total,14-Oct,10,5,0.00104858,0.00522942,0.99477058,93199.866,487.381,464800.05,0.9932572,5435061.8,58.3162,2.539339
Angola,AGO,Medium,2025-2030,2028,3,Total,15-19,15,5,0.00176822,0.00880493,0.99119507,92712.486,816.327,461666,0.989318,4970261.7,53.6094,2.676872
Angola,AGO,Medium,2025-2030,2028,3,Total,20-24,20,5,0.00249455,0.01239819,0.98760181,91896.159,1139.346,456734.48,0.98680533,4508595.7,49.0619,2.58957
Angola,AGO,Medium,2025-2030,2028,3,Total,25-29,25,5,0.00278668,0.01383897,0.98616103,90756.813,1255.981,450708.02,0.98507462,4051861.3,44.6453,2.550883
Angola,AGO,Medium,2025-2030,2028,3,Total,30-34,30,5,0.00327466,0.01624437,0.98375563,89500.832,1453.885,443981.03,0.9817553,3601153.2,40.236,2.576749
