country,code,poorest,poorer,middle,richer,richest
Peru,PER,1,0.847910349,0.747745148,0.622115963,0.515710106
Philippines,PHL,1,0.847910349,0.747745148,0.622115963,0.515710106
Romania,ROU,1,0.847910349,0.747745148,0.622115963,0.515710106
Russian Federation,RUS,1,0.847910349,0.747745148,0.622115963,0.515710106
Rwanda,RWA,1,0.847910349,0.747745148,0.622115963,0.515710106
Samoa,WSM,1,0.847910349,0.747745148,0.622115963,0.515710106
São Tomé and Principe,STP,1,0.847910349,0.747745148,0.622115963,0.515710106
Senegal,SEN,1,0.847910349,0.747745148,0.622115963,0.515710106
Serbia,SRB,1,0.847910349,0.747745148,0.622115963,0.515710106
Sierra Leone,SLE,1,0.847910349,0.747745148,0.622115963,0.515710106
Solomon Islands,SLB,1,0.847910349,0.747745148,0.622115963,0.515710106
Somalia,SOM,1,0.847910349,0.747745148,0.622115963,0.515710106
South Africa,ZAF,1,0.847910349,0.747745148,0.622115963,0.515710106
South Sudan,SSD,1,0.847910349,0.747745148,0.622115963,0.515710106
Sri Lanka,LKA,1,0.847910349,0.747745148,0.622115963,0.515710106
St. Lucia,LCA,1,0.847910349,0.747745148,0.622115963,0.515710106
St. Vincent and the Grenadines,VCT,1,0.847910349,0.747745148,0.622115963,0.515710106
Sudan,SDN,1,0.847910349,0.747745148,0.622115963,0.515710106
Suriname,SUR,1,0.847910349,0.747745148,0.622115963,0.515710106
Swaziland,SWZ,1,0.847910349,0.747745148,0.622115963,0.515710106
Syrian Arab Republic,SYR,1,0.847910349,0.747745148,0.622115963,0.515710106
Tajikistan,TJK,1,0.847910349,0.747745148,0.622115963,0.515710106
"Tanzania, United Republic of",TZA,1,0.847910349,0.747745148,0.622115963,0.515710106
Thailand,THA,1,0.847910349,0.747745148,0.622115963,0.515710106
Timor-Leste,TLS,1,0.847910349,0.747745148,0.622115963,0.515710106
Togo,TGO,1,0.847910349,0.747745148,0.622115963,0.515710106
Tonga,TON,1,0.847910349,0.747745148,0.622115963,0.515710106
Tunisia,TUN,1,0.847910349,0.747745148,0.622115963,0.515710106
Turkey,TUR,1,0.847910349,0.747745148,0.622115963,0.515710106
Turkmenistan,TKM,1,0.847910349,0.747745148,0.622115963,0.515710106
Tuvalu,TUV,1,0.847910349,0.747745148,0.622115963,0.515710106
Uganda,UGA,1,0.847910349,0.747745148,0.622115963,0.515710106
Ukraine,UKR,1,0.847910349,0.747745148,0.622115963,0.515710106
Uzbekistan,UZB,1,0.847910349,0.747745148,0.622115963,0.515710106
Vanuatu,VUT,1,0.847910349,0.747745148,0.622115963,0.515710106
Venezuela,VEN,1,0.847910349,0.747745148,0.622115963,0.515710106
Vietnam,VNM,1,0.847910349,0.747745148,0.622115963,0.515710106
Yemen,YEM,1,0.847910349,0.747745148,0.622115963,0.515710106
Zambia,ZMB,1,0.847910349,0.747745148,0.622115963,0.515710106
Zimbabwe,ZWE,1,0.847910349,0.747745148,0.622115963,0.515710106
