country,code,poorest,poorer,middle,richer,richest
Afghanistan,AFG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Albania,ALB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Algeria,DZA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Angola,AGO,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Argentina,ARG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Armenia,ARM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Azerbaijan,AZE,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bangladesh,BGD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Belarus,BLR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Belize,BLZ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Benin,BEN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bhutan,BTN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bolivia,BOL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bosnia and Herzegovina,BIH,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Botswana,BWA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Brazil,BRA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bulgaria,BGR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Burkina Faso,BFA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Burundi,BDI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cabo Verde,CPV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cambodia,KHM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cameroon,CMR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Central African Republic,CAF,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Chad,TCD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
China,CHN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Colombia,COL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Comoros,COM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Congo,COG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
"Congo, Democratic Republic of the",COD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Costa Rica,CRI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Côte d'Ivoire,CIV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cuba,CUB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Djibouti,DJI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Dominica,DMA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Dominican Republic,DOM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Ecuador,ECU,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Egypt,EGY,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
El Salvador,SLV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Equatorial Guinea,GNQ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Eritrea,ERI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Ethiopia,ETH,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Fiji,FJI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Gabon,GAB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
