"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"UZB",2019.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio"
"UZB",2019.5,"all","high","all","all","Ds, Dc","stock",NA,"all","low","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.674,0.575,0.801,0.113,"TB_prr_0_99","ratio"
"UZB",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,33.6912182997221,21.0570114373263,46.3254251621179,12.6342068623958,"TB_inci_0_14","inci"
"UZB",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,80.9072134359117,51.0992926963653,110.715134175458,29.8079207395464,"TB_inci_15_99","inci"
"UZB",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,66.7036265397357,45.4797453680016,90.9594907360032,22.7398726840008,"TB_inci_0_99","inci"
"UZB",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,23.0574275238723,18.4459420190979,27.6689130286468,4.61148550477445,"TB_notif_0_14","inci"
"UZB",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,59.9650199791847,47.9720159833478,71.9580239750216,11.9930039958369,"TB_notif_15_99","inci"
"UZB",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,49.3364277752082,39.4691422201665,59.2037133302498,9.86728555504165,"TB_notif_0_99","inci"
"UZB",2019.5,"all","all","all","all","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,5.4,5,5.8,0.4,"TB_deaths_0_99","inci"
