"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"VUT",2019.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio"
"VUT",2019.5,"all","high","all","all","Ds, Dc","stock",NA,"all","low","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.674,0.575,0.801,0.113,"TB_prr_0_99","ratio"
"VUT",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,16.3671760591286,11.1985941457196,20.6743276536361,4.73786675395825,"TB_inci_0_14","inci"
"VUT",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,59.848962980696,40.2620296415592,76.1714074299768,17.9546888942088,"TB_inci_15_99","inci"
"VUT",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,40.0157395242128,30.6787336352298,53.3543193656171,11.3377928651937,"TB_inci_0_99","inci"
"VUT",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,12.0600244646211,9.64801957169685,14.4720293575453,2.41200489292422,"TB_notif_0_14","inci"
"VUT",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,42.9824370497726,34.3859496398181,51.5789244597271,8.5964874099545,"TB_notif_15_99","inci"
"VUT",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,31.012198131265,24.809758505012,37.2146377575179,6.20243962625295,"TB_notif_0_99","inci"
"VUT",2019.5,"all","all","all","all","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,5.4,3.5,7.7,2.1,"TB_deaths_0_99","inci"
