nhits,uid,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,multiplier,omegaS0,pEhigh,pR,pT,rho,sageA15,sigma,theta,zeta
19,799b6d4960cb24a1b436fa4f084f4bfd,0.146679329421069,0.419654146681008,0.433658240420678,0.751519836588259,0.760060072634241,0.389396496468247,0.128205801431419,0.157347707995816,0.0108276381049546,0.600368835429787,0.0268767226704364,0.450273756004934,0.709082934507103,0.00119068224728879,0.0188145468161,0.619931758553231,0.0010406937951097,0.0980072023961661,1.11104790921981
19,33798e6cc2d47c77a2a6263b4ca30ccd,0.143544976342167,0.447155814662975,0.415223632521862,0.751775655959229,0.741970722116402,0.369379667184339,0.13220471924269,0.153824010440173,0.0110666390059347,0.622016413860521,0.0273139405084598,0.459556104950671,0.70382233698706,0.00121305470612076,0.0188429375960991,0.602046057871053,0.00101810145804155,0.0979106265557257,1.08514676257695
19,0fc819a1b021eff4745f3d702f183801,0.146473348085373,0.44235444919805,0.409550457198107,0.762961861867886,0.706532865539065,0.34821099220498,0.130721843789857,0.15941872438462,0.010518539322974,0.63188471763724,0.0277022027504298,0.471622688504,0.706778173477322,0.00123256003761765,0.0213446970060129,0.615052330451527,0.00101767810365797,0.0980686462799602,1.14990616428579
19,699b066bf6c3b5c44eaa1874ca759fc9,0.148315582669038,0.457259862380502,0.368869190486082,0.758967710461895,0.711009682349733,0.327721230712742,0.130631841054339,0.158366426665394,0.0100607095234784,0.690562340871184,0.0276724149145694,0.474125953815942,0.705178414444372,0.00122173111365613,0.0199872606099209,0.63876565074406,0.00100669231746944,0.0977919670749159,0.96148312154884
19,fa26792ae1087ca99eac477007daa219,0.152360803041305,0.465481939802346,0.349986320268297,0.759026274150665,0.736053054308391,0.347618016044632,0.129726735539468,0.158747136660869,0.0107483924130479,0.754788590940773,0.0272092128450948,0.494954827053537,0.71793682191328,0.00134233535961759,0.0192138699164162,0.633636253908717,0.00100234952517299,0.0980621037678042,0.985844443825134
19,5d6e2a96ddd5051881dd2967a20f1cab,0.147490296399664,0.465415967515138,0.333271698450604,0.756781638773586,0.775312975846104,0.329082753346325,0.130982494646743,0.159302274643342,0.0112710555744039,0.768739417736358,0.0263624737427452,0.499348303483863,0.717961828005899,0.00136205653580901,0.0178666872063877,0.616201481609115,0.00104546995296984,0.0978221675769219,1.21018185498292
19,0980aed119af9ffe5179f9ee69fdbc52,0.150786438409496,0.46594688957764,0.370551384926259,0.786154468566474,0.763266142454022,0.347345649503578,0.1297472706267,0.157450790777291,0.0114244525061366,0.73239264226206,0.0266060639835014,0.483262292932733,0.720326105483408,0.00131830996677408,0.0191377204597974,0.60202747591723,0.00104261417360644,0.0981308574678735,1.10343446627753
19,67ed81200aa8195fabf627c4cf96738f,0.180864601352695,0.484821916521868,0.337122390580054,0.723953718090266,0.724886787845573,0.318227091629483,0.128003444051315,0.173415365873899,0.00781859323330027,0.911541715517419,0.027092084587932,0.443320075796501,0.68789714442955,0.00136372908920002,0.0193294396951619,0.701443297982867,0.000928896972958647,0.0984859575461302,1.30363054996522
19,b92ebcc4a126988310538d88da7888b4,0.18221756192618,0.503669628694524,0.333528963660186,0.637680464821529,0.647652582664376,0.360107202270395,0.127051480557853,0.162089758745132,0.00598716553434343,0.528518998735477,0.0289642246573229,0.393859450057541,0.659841434975587,0.00125847927834579,0.0182430161562433,0.733796852640437,0.000867216314629676,0.0988829486783219,1.15658915928267
19,6e8e4fa2b34876e214ecdb205c8a4830,0.170053979474717,0.498029095991548,0.316910762281513,0.733705308830207,0.656141588270926,0.333195551784696,0.126809209335191,0.166973326941247,0.00813367666957378,0.773250944328889,0.0283439434564625,0.434514875026853,0.696644030177471,0.001233678615434,0.0225992352962487,0.709869552185143,0.000885845350369372,0.0986580220204167,1.04134134377834
